fold,valid_macro_f1,valid_accuracy,valid_balanced_accuracy,n_selected_models
1,0.9860902313732502,0.996875,0.9988584474885845,2
2,0.9954944676843954,0.9984375,0.9994282447112636,5
3,1.0,1.0,1.0,2
4,0.9769761475421853,0.99375,0.9813126297734044,4
5,0.9911668684200873,0.9984375,0.9994282447112636,1
