slice,n_rows,class1_rows,class2_rows,class3_rows,accuracy,macro_f1,balanced_accuracy
all_rows,3200,93,191,2916,0.9978125,0.9917019932497285,0.995938039390305
binary_pattern_distance_ge_3,51,2,4,45,1.0,1.0,1.0
continuous_outlier_count_ge_1,286,53,9,224,0.993006993006993,0.9778461072424576,0.9970238095238096
default_binary_pattern,1367,49,101,1217,0.9970738844184345,0.9929158066735466,0.9958779772800616
f10_high_q90,323,92,173,58,0.9814241486068112,0.9747272101276551,0.9693375855424889
f10_high_q90_and_f12_equals_0,277,83,173,21,0.9783393501805054,0.9395687494598565,0.9187081383613176
f10_low_q10,331,0,0,331,1.0,1.0,1.0
f12_equals_0,2807,84,191,2532,0.9975062344139651,0.9912657793219957,0.9958513574242712
f12_equals_1,393,9,0,384,1.0,1.0,1.0
