feature,importance
f10,0.4916989610622732
f14,0.4894391233358814
f12,0.01272063457985393
f9,0.003706601030177524
f17,0.0020512820512819325
f1,0.0003427004797819372
f20,4.0697460748687135e-05
f5,8.586020537565436e-16
f4,7.596234700559737e-16
f2,0.0
f3,0.0
f8,0.0
f6,0.0
f13,0.0
f11,0.0
f7,0.0
f15,0.0
f16,0.0
f18,0.0
f19,0.0
f21,0.0
