model_name,random_state,accuracy_mean,accuracy_std,balanced_accuracy_mean,f1_macro_mean,f1_macro_std
lesson06_bagging_tree,42,0.996875,0.0022097086912079454,0.9988568810357386,0.9883791255878511,0.006658052390026721
lesson03_decision_tree_balanced,42,0.9974999999999999,0.0015934435979977374,0.9956911622791559,0.9881451244143203,0.006748443435582274
lesson06_adaboost_tree,42,0.9809374999999999,0.0026882266459508125,0.989632710091213,0.9451165009061258,0.007693800228103912
lesson02_logreg_balanced_fe_scaled,42,0.9703125,0.011223928122542495,0.9411806288685259,0.8896002086159915,0.039754208490037905
lesson02_knn_scaled,42,0.9421875,0.005134898976610924,0.6404300906099956,0.6989430462872404,0.040310374727533765
